aid,pid
482,300
483,300
484,300
485,300
486,301
478,302
479,302
487,303
488,304
302,304
489,304
104,304
490,305
491,306
492,306
493,306
494,307
495,308
496,308
497,309
498,309
499,310
500,311
501,311
502,312
503,312
504,313
505,314
506,314
470,315
507,315
508,316
290,316
509,317
510,318
511,319
512,319
513,320
514,320
515,321
516,321
517,321
37,322
518,322
279,323
519,323
520,324
521,324
522,325
523,325
524,326
525,326
119,327
120,327
526,328
527,329
528,329
529,330
530,330
531,330
245,330
221,331
220,331
532,332
533,333
534,334
535,335
536,335
537,335
77,336
78,336
538,337
539,337
346,338
540,338
541,339
542,339
543,340
544,341
545,341
546,341
547,342
548,342
549,343
328,343
84,344
85,344
550,345
551,345
552,345
553,346
542,347
56,347
473,348
554,348
140,349
142,349
555,349
556,350
557,350
558,351
559,351
560,352
561,353
196,354
232,355
75,356
562,356
563,357
327,357
564,357
565,358
530,358
244,358
304,359
566,359
567,360
568,360
569,360
570,361
571,361
572,361
573,362
574,363
575,363
576,363
577,363
578,363
579,363
580,363
581,363
582,364
583,364
343,365
584,365
585,365
464,366
586,366
587,366
588,366
589,367
89,368
91,368
46,368
590,369
591,370
592,370
593,371
534,372
594,373
595,374
573,375
473,376
596,376
597,377
475,377
598,378
599,378
600,378
601,378
602,378
603,379
604,380
605,380
606,381
607,381
404,381
608,382
609,382
610,382
611,383
612,383
613,383
614,384
615,384
616,385
617,386
618,386
20,387
619,388
620,388
621,389
622,389
610,389
623,390
624,390
625,391
626,392
558,393
168,393
627,394
434,395
628,395
629,396
630,396
631,397
632,397
461,398
633,399
634,399
635,400
636,400
637,400
638,401
639,401
640,402
641,402
642,403
643,403
644,403
645,404
646,404
647,405
573,406
422,407
648,407
425,407
649,408
18,408
650,408
46,408
651,409
652,409
653,410
142,411
555,411
654,412
655,413
656,414
657,415
658,415
20,416
58,417
659,418
483,418
660,418
661,418
662,419
663,420
185,421
626,422
664,422
665,423
666,424
667,424
668,425
12,426
669,426
670,426
291,427
292,427
671,428
672,428
207,429
673,430
212,430
674,431
675,431
194,432
42,433
676,433
677,434
197,434
678,435
679,435
680,436
681,437
240,438
241,438
682,438
683,439
322,440
323,440
684,441
685,442
686,442
558,443
687,444
688,445
689,446
690,446
225,447
691,448
218,448
692,449
693,450
694,450
695,450
696,450
314,451
697,452
121,452
471,453
698,454
594,455
699,456
16,457
18,457
19,457
700,458
701,458
702,459
703,459
20,460
671,461
704,461
234,462
705,463
706,464
707,465
708,465
709,465
710,466
711,466
414,466
712,467
135,467
713,467
155,467
281,468
241,468
714,468
715,468
716,469
717,469
718,469
719,470
720,470
46,471
721,471
722,472
723,472
724,473
725,473
726,473
727,474
165,475
728,476
139,476
45,477
46,477
729,478
730,478
442,479
438,479
731,479
244,479
732,480
602,480
733,481
734,482
137,483
735,483
736,483
737,484
738,485
739,486
740,486
741,486
742,487
140,488
743,488
141,488
88,489
744,489
745,490
746,490
664,490
371,490
747,491
748,491
749,492
750,493
751,493
752,494
753,495
754,495
755,496
756,496
757,497
758,498
759,498
760,498
761,499
762,499
763,499
764,500
765,501
766,501
767,501
768,501
161,502
769,502
770,503
20,504
771,505
772,506
773,507
774,507
775,507
776,508
777,509
778,509
134,510
779,510
780,511
781,511
782,511
783,512
13,513
784,514
500,515
422,516
785,516
786,517
280,517
100,518
41,519
787,519
42,519
788,520
789,521
790,521
791,522
733,523
470,524
792,525
793,525
794,525
795,526
796,526
797,527
798,528
343,528
799,528
800,529
801,529
611,530
802,530
803,530
804,531
805,531
806,531
807,531
808,531
626,532
809,533
810,533
811,534
405,535
812,535
813,536
814,536
815,537
816,538
817,538
