id,name
864,Noritaka Nishihara
865,Yasunori Yamamoto
866,Zhiguo Zhang
867,Patrick E. O'Neil
868,Fatma Mili
869,Edsger W. Dijkstra
870,Kazuo Iwama
871,Giuliano Pacini
872,Maria Simi
873,Franco Turini
874,Gerda Schott
875,Vijay K. Garg
876,Alexander I. Tomlinson
877,Guy Fayolle
878,D. Bastin
879,R. M. Wharton
880,Klaus Indermark
881,Thomas Noll
882,Mohammad Mahdi Jaghoori
883,Marjan Sirjani
884,Mohammad Reza Mousavi
885,Ehsan Khamespanah
886,Ali Movaghar
887,Maurice Schlumberger
888,Jean Vuillemin
889,K. Narayan Kumar
890,Paritosh K. Pandya
891,Catherine Rosenberg
892,Carla Schlatter Ellis
893,William M. Waite
894,Mingsheng Ying
895,Yunhe Wang
896,Li Jiao
897,Burkhard Monien
898,Ewald Speckenmeyer
899,Remco Loos
900,Florin Manea
901,Bing-Chao Huang
902,Michael A. Langston
903,Tim Teitelbaum
904,Chandra M. R. Kintala
905,Wilfred J. Hansen
906,Hendrik Boom
907,Augusto Celentano
908,Bastian Katz
909,Ignaz Rutter
910,Vince Barany
911,Ferri Abolhassan
912,Jorg Keller 0001
913,Rafik Aguech
914,Nabil Lasmar
915,Julian Rathke
916,C. L. Liu
917,Jane W.-S. Liu
918,Arthur L. Liestman
919,Pierpaolo Degano
920,Jose Meseguer
921,Andrzej Biela
922,Jakub Borowczyk
923,Alfredo Burrieza
924,Arne Andersson
925,Christian Icking
926,Rolf Klein
927,Helmut Seidl
928,Naomi Nishimura
929,Prabhakar Ragde
930,Stefan Szeider
931,Joel I. Seiferas
932,Tian-Shyr Dai
933,Yuh-Dauh Lyuu
934,Bernd Becker
935,A. Nico Habermann
936,Daniel M. Berry
937,P. S. Thiagarajan
938,Claus-Peter Schnorr
939,Benny Godlin
940,Ofer Strichman
941,Nicole Lesley
942,Mark B. Josephs
943,Roy H. Campbell
944,Sebastian Link
945,Juraj Hromkovic
946,Piotr Wyrostek
947,J. Terlouw
948,Dirk Taubner
949,Betti Venneri
950,Viviana Bono
951,Ernst-Erich Doberkat
952,Daniele Beauquier
953,Anatol Slissenko
954,Werner Damm
955,Bernhard Josko
956,Frantisek Mraz
957,Martin Platek
958,Laurent Pierre
959,Sylviane R. Schwer
960,A. Nahapetian
961,Lex Bijlsma
962,Rob Nederpelt
963,Matteo Magnani
964,Danilo Montesi
965,Sridhar Vasudevan
966,Leslie M. Goldschlager
967,Peter D. Welch
968,Walter Bucher
969,Luc Moreau
970,Jean Duprat
971,T. Betteridge
972,Janet A. Walz
973,Gregory F. Johnson
974,Wladyslaw M. Turski
975,Brian Randell
976,Uli Fahrenberg
977,Axel Legay
978,Jiri Techet
979,Chuzo Iwamoto
980,Katsuyuki Tateishi
981,Katsunobu Imai
982,Daowen Qiu
983,Lvzhou Li
984,Xiangfu Zou
985,Paulo Mateus
986,H. T. Kung
987,Christos H. Papadimitriou
988,Takao Tsuda
989,Takashi Sato
990,Chongkye Rhee
991,Satoru Miyano
992,Arash Farzan
993,John Iacono
994,Clelia De Felice
995,Reiner Kolla
996,Bernd Serf
997,Keijo Ruohonen
998,Baudouin Le Charlier
999,Pascal Van Hentenryck
1000,Jeremy Dick
